year,actual_tfr,source_url
1980,1.75,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
1981,1.74,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
1982,1.77,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
1983,1.80,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
1984,1.81,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
1985,1.76,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
1986,1.72,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
1987,1.69,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
1988,1.66,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
1989,1.57,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
1990,1.54,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
1991,1.53,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
1992,1.50,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
1993,1.46,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
1994,1.50,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
1995,1.42,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
1996,1.43,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
1997,1.39,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
1998,1.38,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
1999,1.34,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2000,1.36,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2001,1.33,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2002,1.32,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2003,1.29,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2004,1.29,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2005,1.26,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2006,1.32,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2007,1.34,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2008,1.37,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2009,1.37,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2010,1.39,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2011,1.39,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2012,1.41,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2013,1.43,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2014,1.42,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2015,1.45,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2016,1.44,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2017,1.43,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2018,1.42,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2019,1.36,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2020,1.33,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2021,1.30,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2022,1.26,https://www.ipss.go.jp/syoushika/tohkei/Data/Popular2024/T04-03.htm
2023,1.20,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei24/dl/03_h1.pdf
2024,1.15,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/kakutei24/dl/03_h1.pdf
